002725.29+045428.7 2.01214   2579 9.63015    66341.3  DR14 -27.4843 0.0133 -31.5601  0.0584 0.0559 1.82882   0.12718  0.13021 -32.8538   165.186   62.496 12.4227   6.9225  
002744.19-014154.3 0.802     2100 6.90212     4691.83 DR12 -28.1595 0.0331 -31.611   0.1417 0.1144 3.35584   0.65819  0.75466 -31.6703    14.91     4.455  3.83825  1.89189 
002751.16+262437.6 1.17371  14012 5.01687    21692.1  DR14 -28.0261 0.0197 -31.8666  0.1215 0.1048 1.83201   0.31994  0.38191 -32.2843    23.568   11.664  4.76808  3.32093 
002751.16+262437.6 1.17371   3249 5.59944     9977.02 DR14 -28.0261 0.0197 -31.7654  0.2849 0.3257 2.32578   0.77536  1.45207 -31.604      8.0      1.79   2.82843  1.20408 
002807.30+262220.6 1.89918  14012 7.48193    21692.1  DR14 -28.192  0.0307 -31.7308  0.2367 0.2021 3.20212   0.73924  0.89531 -31.7367    13.16     9.768  3.41617  2.58924 
003027.76+261356.5 3.24      5762 7.61782    17888.9  DR12 -27.9026 0.0296 -31.7531  0.341  0.2857 2.4797    0.49662  1.01298 -31.952     11.505    6.444  3.02188  1.89562 
003048.81+262832.1 1.37848   5762 7.9722     17885.8  DR14 -27.5585 0.0099 -31.2071  0.0586 0.0553 1.7203    0.14724  0.15414 -32.1712   101.608   46.2    9.85084  6.2987  
003131.44+003420.2 1.7355    2101 1.14873     6682.3  DR7  -27.3621 0.0116 -31.3186  0.0729 0.0668 2.75934   0.31096  0.36154 -32.1738    49.95     8.919  7.06047  2.95971 
003138.18+003333.2 2.741     2101 1.53789     6682.3  DR7  -27.5122 0.0241 -31.7049  0.1833 0.1526 2.53627   0.50708  0.56266 -32.751     19.88     3.956  4.43203  1.96721 
003413.04-010026.9 1.2922    6693 1.03233     2015.75 DR7  -26.6835 0.0086 -31.1328  0.1082 0.0955 2.26457   0.39438  0.45131 -31.5805    19.88     5.0    4.43203  2.23607 
003535.96+182530.1 2.02698   2551 6.99525    21481.3  DR14 -27.9982 0.0184 -31.8804  0.1387 0.129  1.9596    0.32795  0.46191 -32.5901    28.53    10.608  5.08573  2.70387 
003545.32+012156.6 0.857038 15015 9.20811    15869.2  DR14 -28.2389 0.023  -31.9326  0.1385 0.1174 2.38852   0.51739  0.58768 -31.8654    15.678    4.18   3.47782  1.05093 
003546.70+011335.7 1.55377  15015 1.42554    15869.3  DR14 -28.3206 0.0244 -31.8613  0.1248 0.1022 3.27267   0.52905  0.62575 -32.3931    19.94     4.695  4.45205  2.03842 
003556.87+011649.5 1.73136  15015 4.19453    15869.2  DR14 -27.8764 0.0118 -31.6121  0.1645 0.1403 3.30969   0.61121  0.66147 -31.935     17.748    6.79   4.15426  2.52873 
